neighbourhood,host_since,host_listings_count,host_identity_verified,property_type,room_type,accommodates,beds,price,log_price,location_cluster
Outer Mission,2018-02-08,2,1,Private room in home,Private room,2,1,39.0,3.6888794541139363,4
Parkside,2011-10-04,1,1,Entire guest suite,Entire home/apt,3,2,147.0,4.997212273764115,2
Parkside,2015-06-09,4,1,Entire guest suite,Entire home/apt,2,1,58.0,4.07753744390572,2
Outer Mission,2016-10-14,4,0,Private room in home,Private room,1,1,79.0,4.382026634673881,4
Outer Mission,2016-04-08,2,1,Private room in home,Private room,1,1,60.0,4.110873864173311,4
Outer Sunset,2018-05-24,5,1,Private room in home,Private room,2,1,79.0,4.382026634673881,2
Nob Hill,2014-09-02,1,1,Entire condo,Entire home/apt,5,4,550.0,6.311734809152915,0
Outer Richmond,2015-10-01,1,0,Private room in rental unit,Private room,1,1,59.0,4.0943445622221,2
Mission,2018-02-06,3,1,Private room in home,Private room,2,1,94.0,4.553876891600541,3
South of Market,2018-02-10,1,0,Entire loft,Entire home/apt,5,3,300.0,5.707110264748875,0
Lakeshore,2019-01-31,2,0,Entire home,Entire home/apt,4,2,165.0,5.111987788356544,2
Western Addition,2022-11-07,29,1,Room in hotel,Private room,2,1,102.0,4.634728988229636,0
Western Addition,2013-04-10,1,1,Entire rental unit,Entire home/apt,4,2,730.0,6.594413459749778,1
Outer Sunset,2014-06-09,1,1,Entire rental unit,Entire home/apt,2,2,95.0,4.564348191467836,2
Outer Sunset,2010-08-20,1,1,Entire home,Entire home/apt,6,5,350.0,5.860786223465865,2
Haight Ashbury,2009-07-20,1,1,Entire rental unit,Entire home/apt,6,3,712.0,6.569481420414296,1
Western Addition,2022-11-07,29,1,Room in hotel,Private room,2,1,99.0,4.605170185988092,0
Noe Valley,2015-05-05,2,1,Entire guest suite,Entire home/apt,5,3,231.0,5.44673737166631,3
Downtown/Civic Center,2010-04-30,12,1,Room in aparthotel,Private room,1,1,70.0,4.2626798770413155,0
Mission,2013-07-01,3,1,Private room in home,Private room,2,1,220.0,5.3981627015177525,3
Pacific Heights,2013-03-30,1,0,Entire home,Entire home/apt,8,4,914.0,6.818924065275521,1
Presidio Heights,2012-06-12,1,1,Private room in rental unit,Private room,1,1,125.0,4.836281906951478,1
Downtown/Civic Center,2019-06-03,9,1,Room in hotel,Hotel room,4,1,179.0,5.19295685089021,0
Chinatown,2010-12-28,3,1,Private room in hostel,Private room,2,2,105.0,4.663439094112067,0
Western Addition,2012-04-03,17,1,Private room in rental unit,Private room,2,1,75.0,4.330733340286331,1
Western Addition,2016-10-11,2,1,Private room in condo,Private room,2,1,105.0,4.663439094112067,1
Parkside,2012-07-03,1,1,Entire home,Entire home/apt,4,2,150.0,5.017279836814924,2
Noe Valley,2013-07-01,3,1,Private room in home,Private room,2,1,200.0,5.303304908059076,3
Outer Sunset,2015-10-23,1,1,Entire home,Entire home/apt,3,2,200.0,5.303304908059076,2
Outer Sunset,2018-05-01,1,1,Entire guest suite,Entire home/apt,3,3,100.0,4.61512051684126,2
Parkside,2019-08-11,1,0,Entire guest suite,Entire home/apt,9,4,239.0,5.480638923341991,2
Financial District,2016-10-19,3,1,Entire rental unit,Entire home/apt,4,2,150.0,5.017279836814924,0
Financial District,2013-05-06,2,1,Private room in condo,Private room,2,1,198.0,5.293304824724492,0
Parkside,2013-07-07,5,1,Entire home,Entire home/apt,4,3,165.0,5.111987788356544,2
Financial District,2015-11-09,1,1,Private room in condo,Private room,1,1,235.0,5.4638318050256105,0
Western Addition,2013-04-25,1,1,Private room in home,Private room,2,1,71.0,4.276666119016055,1
Russian Hill,2014-09-02,16,1,Room in hotel,Hotel room,2,1,117.0,4.770684624465665,0
Mission,2022-07-15,9,1,Private room in bed and breakfast,Private room,2,1,133.0,4.897839799950911,3
Western Addition,2014-08-30,3,1,Private room in home,Private room,1,1,65.0,4.189654742026425,1
Castro/Upper Market,2015-07-14,1,1,Private room in home,Private room,2,1,135.0,4.912654885736052,1
Chinatown,2010-02-24,15,1,Room in boutique hotel,Private room,2,1,391.0,5.971261839790462,0
South of Market,2014-09-14,2,1,Private room in townhouse,Private room,1,1,172.0,5.153291594497779,0
Nob Hill,2012-06-19,1,1,Private room in rental unit,Private room,1,1,67.0,4.219507705176107,0
Crocker Amazon,2011-06-06,2,1,Entire home,Entire home/apt,6,5,239.0,5.480638923341991,4
Outer Sunset,2015-10-15,5,1,Entire rental unit,Entire home/apt,4,1,98.0,4.59511985013459,2
Outer Richmond,2014-08-05,1,1,Entire guest suite,Entire home/apt,3,1,298.0,5.700443573390687,2
Outer Mission,2022-03-14,4,1,Private room in home,Private room,1,1,44.0,3.8066624897703196,4
Downtown/Civic Center,2014-06-20,45,0,Room in boutique hotel,Private room,2,1,67.0,4.219507705176107,0
Western Addition,2022-11-07,29,1,Room in hotel,Private room,2,1,102.0,4.634728988229636,0
Chinatown,2016-01-23,24,1,Room in boutique hotel,Private room,2,1,255.0,5.545177444479562,0
Haight Ashbury,2018-08-12,1,1,Entire rental unit,Entire home/apt,4,2,273.0,5.6131281063880705,1
West of Twin Peaks,2016-07-26,6,1,Private room in home,Private room,1,1,57.0,4.060443010546419,4
Lakeshore,2022-10-26,1,1,Entire guest suite,Entire home/apt,5,3,199.0,5.298317366548036,2
Western Addition,2016-04-13,9,1,Private room in bed and breakfast,Private room,2,1,258.0,5.556828061699537,1
Chinatown,2020-02-11,9,1,Private room in rental unit,Private room,1,1,93.0,4.543294782270004,0
Mission,2012-11-10,1,1,Entire rental unit,Entire home/apt,5,3,495.0,6.206575926724928,3
North Beach,2014-11-25,4,1,Entire condo,Entire home/apt,3,2,375.0,5.929589143389895,0
Outer Richmond,2018-02-08,6,1,Private room in townhouse,Private room,2,1,67.0,4.219507705176107,2
Financial District,2016-10-19,3,1,Entire rental unit,Entire home/apt,4,2,150.0,5.017279836814924,0
Parkside,2015-11-08,4,1,Private room in home,Private room,2,1,114.0,4.74493212836325,2
Western Addition,2020-02-27,1,1,Private room in condo,Private room,2,1,121.0,4.804021044733257,1
West of Twin Peaks,2022-06-22,1,1,Entire rental unit,Entire home/apt,2,1,204.0,5.3230099791384085,4
Russian Hill,2018-09-30,7,0,Room in hotel,Private room,6,2,1250.0,7.1316985104669115,0
Marina,2012-12-09,1,1,Entire condo,Entire home/apt,4,2,450.0,6.111467339502679,1
Western Addition,2017-10-02,2,1,Private room in rental unit,Private room,2,1,109.0,4.700480365792417,1
Nob Hill,2016-02-15,1,1,Entire condo,Entire home/apt,4,1,230.0,5.442417710521793,0
Crocker Amazon,2017-11-21,5,0,Private room in guest suite,Private room,2,1,79.0,4.382026634673881,4
Castro/Upper Market,2012-06-22,4,1,Entire townhouse,Entire home/apt,8,4,993.0,6.901737206656574,1
Outer Sunset,2011-06-26,1,1,Entire home,Entire home/apt,5,3,750.0,6.621405651764134,2
South of Market,2019-03-20,9,1,Room in boutique hotel,Hotel room,2,1,110.0,4.709530201312334,0
Western Addition,2013-11-23,3,1,Private room in rental unit,Private room,1,1,64.0,4.174387269895637,1
Presidio,2013-12-29,1,1,Private room in home,Private room,2,1,155.0,5.049856007249537,1
Russian Hill,2018-11-09,1,0,Entire home,Entire home/apt,8,4,500.0,6.2166061010848646,0
Pacific Heights,2017-12-19,3,1,Entire condo,Entire home/apt,7,2,721.0,6.582025138892826,0
Western Addition,2013-02-09,3,1,Private room in rental unit,Private room,1,0,89.0,4.499809670330265,1
Inner Richmond,2014-01-16,1,1,Entire home,Entire home/apt,8,6,875.0,6.775366090936392,2
Outer Sunset,2010-05-03,2,1,Entire rental unit,Entire home/apt,5,2,141.0,4.955827057601261,2
Downtown/Civic Center,2019-10-18,6,1,Room in boutique hotel,Private room,2,1,265.0,5.583496308781699,0
Haight Ashbury,2017-02-19,43,1,Shared room in hostel,Shared room,1,1,50.0,3.9318256327243257,1
Inner Richmond,2016-04-19,1,1,Entire condo,Entire home/apt,4,2,262.0,5.572154032177765,1
Marina,2017-06-14,1,0,Entire rental unit,Entire home/apt,5,3,625.0,6.439350371100098,0
Chinatown,2016-01-23,24,1,Room in boutique hotel,Private room,2,1,265.0,5.583496308781699,0
Marina,2023-04-27,1,1,Private room in bed and breakfast,Private room,2,1,1456.0,7.284134806195205,1
Haight Ashbury,2015-12-02,1,1,Private room in home,Private room,2,1,125.0,4.836281906951478,1
Pacific Heights,2014-05-21,4,1,Private room in home,Private room,2,1,208.0,5.342334251964811,1
Western Addition,2012-05-31,3,1,Entire townhouse,Entire home/apt,6,5,253.0,5.537334267018537,1
Outer Mission,2016-10-14,4,0,Private room in home,Private room,1,1,80.0,4.394449154672439,4
Chinatown,2020-02-05,4,1,Room in boutique hotel,Private room,2,1,206.0,5.332718793265369,0
Haight Ashbury,2017-02-19,43,1,Private room in hostel,Private room,2,1,100.0,4.61512051684126,1
Downtown/Civic Center,2015-12-24,43,1,Entire rental unit,Entire home/apt,2,1,165.0,5.111987788356544,0
Castro/Upper Market,2019-01-07,3,1,Entire condo,Entire home/apt,2,2,320.0,5.771441123130016,1
Downtown/Civic Center,2013-04-07,29,1,Private room in resort,Private room,4,2,550.0,6.311734809152915,0
North Beach,2016-07-10,1,1,Entire townhouse,Entire home/apt,4,2,500.0,6.2166061010848646,0
Outer Mission,2015-08-03,1,1,Private room in home,Private room,2,1,60.0,4.110873864173311,4
Inner Sunset,2018-01-04,2,1,Private room in rental unit,Private room,1,1,139.0,4.941642422609304,1
Western Addition,2012-10-25,6,1,Entire rental unit,Entire home/apt,2,1,120.0,4.795790545596741,1
Diamond Heights,2011-08-26,1,1,Entire home,Entire home/apt,8,5,359.0,5.886104031450156,4
Diamond Heights,2016-03-06,1,1,Entire home,Entire home/apt,7,5,525.0,6.26530121273771,4
Parkside,2012-06-07,2,1,Private room in home,Private room,2,1,115.0,4.7535901911063645,2
Western Addition,2015-12-11,1,1,Entire condo,Entire home/apt,4,2,169.0,5.135798437050262,1
Excelsior,2019-01-15,4,0,Entire guest suite,Entire home/apt,5,3,104.0,4.653960350157523,3
Western Addition,2021-02-08,3,0,Entire rental unit,Entire home/apt,2,1,125.0,4.836281906951478,1
Outer Mission,2015-12-18,1,1,Private room in guest suite,Private room,2,1,100.0,4.61512051684126,4
Outer Mission,2018-11-09,1,1,Entire home,Entire home/apt,5,3,108.0,4.6913478822291435,4
Western Addition,2020-05-24,1,0,Entire rental unit,Entire home/apt,4,2,58.0,4.07753744390572,1
Western Addition,2011-10-17,2,1,Entire guest suite,Entire home/apt,2,1,185.0,5.225746673713202,1
Downtown/Civic Center,2015-12-24,43,1,Entire rental unit,Entire home/apt,4,2,265.0,5.583496308781699,0
Twin Peaks,2019-08-21,1,0,Entire home,Entire home/apt,5,3,159.0,5.075173815233827,4
Outer Sunset,2016-01-04,1,1,Private room in loft,Private room,2,1,139.0,4.941642422609304,2
Twin Peaks,2015-11-06,1,1,Entire home,Entire home/apt,6,3,359.0,5.886104031450156,1
Parkside,2015-06-09,4,1,Private room in home,Private room,2,1,57.0,4.060443010546419,2
Downtown/Civic Center,2018-02-13,61,1,Room in boutique hotel,Private room,2,1,170.0,5.14166355650266,0
Downtown/Civic Center,2018-02-13,61,1,Room in boutique hotel,Private room,2,1,170.0,5.14166355650266,0
Inner Richmond,2017-10-28,1,0,Private room in home,Private room,6,3,250.0,5.5254529391317835,1
Pacific Heights,2020-12-21,4,1,Entire rental unit,Entire home/apt,2,1,200.0,5.303304908059076,1
Pacific Heights,2020-12-21,4,1,Entire rental unit,Entire home/apt,1,1,175.0,5.170483995038151,1
Marina,2014-04-10,1,0,Private room in rental unit,Private room,1,1,63.0,4.1588830833596715,0
Presidio Heights,2021-02-08,4,1,Entire rental unit,Entire home/apt,2,1,125.0,4.836281906951478,1
Western Addition,2008-07-31,1,1,Entire serviced apartment,Entire home/apt,3,2,204.0,5.3230099791384085,1
Twin Peaks,2014-05-31,1,1,Entire home,Entire home/apt,6,3,592.0,6.385194398997726,4
Western Addition,2021-02-08,4,1,Entire rental unit,Entire home/apt,4,1,135.0,4.912654885736052,1
Diamond Heights,2014-08-27,1,1,Entire home,Entire home/apt,3,2,200.0,5.303304908059076,4
West of Twin Peaks,2013-07-16,2,1,Private room in home,Private room,4,3,136.0,4.919980925828125,4
Downtown/Civic Center,2019-06-20,4,1,Room in boutique hotel,Private room,2,1,263.0,5.575949103146316,0
Financial District,2019-06-13,1,1,Room in boutique hotel,Private room,2,1,248.0,5.517452896464707,0
Glen Park,2012-12-22,3,1,Entire home,Entire home/apt,7,3,456.0,6.124683390894205,4
Lakeshore,2022-12-20,1,1,Entire guesthouse,Entire home/apt,3,1,106.0,4.672828834461906,4
Western Addition,2013-10-28,1,1,Entire rental unit,Entire home/apt,4,2,142.0,4.962844630259907,1
Western Addition,2010-09-16,1,1,Entire rental unit,Entire home/apt,2,1,125.0,4.836281906951478,1
Mission,2019-11-26,1,1,Private room in condo,Private room,1,1,150.0,5.017279836814924,3
Mission,2011-08-28,4,0,Entire rental unit,Entire home/apt,6,3,236.0,5.4680601411351315,3
Parkside,2017-06-07,5,1,Entire rental unit,Entire home/apt,4,2,135.0,4.912654885736052,2
Pacific Heights,2012-04-24,1,1,Entire condo,Entire home/apt,2,1,120.0,4.795790545596741,1
Presidio,2023-03-08,1,1,Entire home,Entire home/apt,3,2,226.0,5.424950017481403,1
South of Market,2019-10-22,5,1,Room in boutique hotel,Private room,2,1,298.0,5.700443573390687,0
Haight Ashbury,2015-04-02,3,1,Private room in home,Private room,2,1,220.0,5.3981627015177525,1
Haight Ashbury,2017-02-19,43,1,Shared room in hostel,Shared room,1,1,79.0,4.382026634673881,1
Haight Ashbury,2017-02-19,43,1,Shared room in hostel,Shared room,1,1,39.0,3.6888794541139363,1
Marina,2015-03-08,2,1,Entire rental unit,Entire home/apt,4,2,125.0,4.836281906951478,1
Mission,2013-07-21,3,1,Entire rental unit,Entire home/apt,1,1,245.0,5.5053315359323625,1
Western Addition,2014-06-27,1,1,Entire rental unit,Entire home/apt,3,1,105.0,4.663439094112067,1
Nob Hill,2010-07-15,1,0,Entire rental unit,Entire home/apt,1,1,125.0,4.836281906951478,0
Western Addition,2011-06-23,1,1,Entire home,Entire home/apt,2,1,199.0,5.298317366548036,1
Lakeshore,2015-09-20,1,1,Private room in home,Private room,4,1,100.0,4.61512051684126,2
Downtown/Civic Center,2019-06-04,8,1,Room in boutique hotel,Hotel room,2,1,209.0,5.3471075307174685,0
Nob Hill,2019-06-11,10,1,Room in boutique hotel,Private room,2,1,220.0,5.3981627015177525,0
Downtown/Civic Center,2016-11-04,12,1,Shared room in hostel,Shared room,1,1,37.0,3.6375861597263857,0
Downtown/Civic Center,2019-10-18,10,0,Room in boutique hotel,Private room,2,1,255.0,5.545177444479562,0
Chinatown,2020-02-05,4,1,Room in boutique hotel,Private room,4,2,233.0,5.455321115357702,0
Haight Ashbury,2009-06-17,14,1,Private room in rental unit,Private room,1,1,55.0,4.02535169073515,1
Outer Mission,2012-08-24,3,1,Entire guest suite,Entire home/apt,2,1,133.0,4.897839799950911,4
Nob Hill,2019-04-06,30,0,Room in aparthotel,Private room,2,1,86.0,4.465908118654584,0
Outer Mission,2023-02-28,2,1,Entire home,Entire home/apt,5,3,241.0,5.488937726156687,4
Crocker Amazon,2016-08-19,1,1,Entire rental unit,Entire home/apt,4,2,186.0,5.231108616854587,4
Downtown/Civic Center,2017-12-14,4,1,Room in hotel,Private room,2,1,370.0,5.916202062607435,0
Parkside,2013-06-24,1,1,Private room in guest suite,Private room,2,1,167.0,5.123963979403259,2
Western Addition,2014-07-03,3,1,Entire home,Entire home/apt,4,3,125.0,4.836281906951478,1
Outer Sunset,2016-03-07,21,1,Private room in rental unit,Private room,4,2,66.0,4.204692619390966,2
Haight Ashbury,2012-07-24,1,1,Entire guest suite,Entire home/apt,2,1,192.0,5.262690188904886,1
Western Addition,2017-07-31,1,1,Entire rental unit,Entire home/apt,2,1,150.0,5.017279836814924,1
Haight Ashbury,2011-10-03,1,1,Entire home,Entire home/apt,6,4,400.0,5.993961427306569,1
Parkside,2015-06-07,1,1,Entire guest suite,Entire home/apt,2,1,130.0,4.875197323201151,2
Outer Mission,2011-11-27,2,1,Entire home,Entire home/apt,6,4,143.0,4.969813299576001,4
Outer Sunset,2011-06-14,1,1,Entire rental unit,Entire home/apt,4,3,250.0,5.5254529391317835,2
Inner Richmond,2017-04-28,30,1,Entire rental unit,Entire home/apt,4,2,130.0,4.875197323201151,2
Pacific Heights,2019-09-04,2,1,Room in boutique hotel,Private room,2,1,608.0,6.411818267709897,1
Western Addition,2010-11-06,2,1,Entire home,Entire home/apt,6,4,546.0,6.304448802421981,1
Parkside,2012-06-07,2,1,Entire home,Entire home/apt,6,3,336.0,5.820082930352362,2
Twin Peaks,2018-06-02,1,1,Entire rental unit,Entire home/apt,4,2,423.0,6.049733455231958,1
Castro/Upper Market,2020-08-03,1,1,Entire guest suite,Entire home/apt,3,2,283.0,5.648974238161206,1
Western Addition,2012-01-08,1,1,Entire home,Entire home/apt,9,5,1000.0,6.90875477931522,1
Western Addition,2012-05-27,5,1,Entire rental unit,Entire home/apt,4,2,200.0,5.303304908059076,1
Haight Ashbury,2011-07-19,2,1,Entire rental unit,Entire home/apt,7,4,260.0,5.564520407322694,1
Western Addition,2013-09-27,1,1,Entire home,Entire home/apt,5,3,260.0,5.564520407322694,1
Western Addition,2022-03-22,11,1,Entire rental unit,Entire home/apt,2,1,180.0,5.198497031265826,1
Haight Ashbury,2018-10-26,2,1,Entire rental unit,Entire home/apt,9,5,299.0,5.703782474656201,1
Western Addition,2010-03-29,2,1,Entire home,Entire home/apt,8,4,1342.0,7.202661196523238,1
Twin Peaks,2011-06-01,2,1,Entire condo,Entire home/apt,4,2,325.0,5.786897381366708,1
Marina,2012-07-28,1,1,Entire home,Entire home/apt,6,4,1317.0,7.183870715062453,0
Outer Mission,2013-06-05,1,1,Entire home,Entire home/apt,2,1,180.0,5.198497031265826,4
Haight Ashbury,2018-06-28,1,1,Entire rental unit,Entire home/apt,4,2,200.0,5.303304908059076,1
Ocean View,2017-05-24,2,1,Entire guesthouse,Entire home/apt,2,1,55.0,4.02535169073515,4
Haight Ashbury,2014-07-17,1,1,Entire condo,Entire home/apt,4,2,140.0,4.948759890378168,1
Inner Sunset,2015-09-11,7,1,Entire condo,Entire home/apt,2,1,175.0,5.170483995038151,1
Inner Sunset,2016-05-31,2,1,Entire home,Entire home/apt,2,2,245.0,5.5053315359323625,2
Lakeshore,2012-06-24,1,1,Entire rental unit,Entire home/apt,4,2,194.0,5.272999558563747,4
Haight Ashbury,2017-04-28,30,1,Entire rental unit,Entire home/apt,3,2,107.0,4.68213122712422,1
Inner Sunset,2011-04-10,1,1,Entire home,Entire home/apt,4,2,183.0,5.214935757608986,2
Inner Sunset,2016-02-04,1,1,Entire home,Entire home/apt,2,1,110.0,4.709530201312334,1
Financial District,2016-07-31,1,0,Entire rental unit,Entire home/apt,4,2,300.0,5.707110264748875,0
Nob Hill,2016-05-06,46,1,Entire condo,Entire home/apt,2,1,95.0,4.564348191467836,0
Western Addition,2016-02-18,1,0,Entire townhouse,Entire home/apt,6,4,295.0,5.69035945432406,1
Western Addition,2019-04-05,3,1,Entire rental unit,Entire home/apt,4,3,157.0,5.062595033026967,1
Castro/Upper Market,2012-02-20,1,1,Entire condo,Entire home/apt,5,2,349.0,5.857933154483459,1
Haight Ashbury,2012-05-27,5,1,Entire rental unit,Entire home/apt,3,2,225.0,5.420534999272286,1
Downtown/Civic Center,2015-12-24,43,1,Entire rental unit,Entire home/apt,2,1,92.0,4.532599493153256,0
Lakeshore,2011-09-12,2,1,Private room in rental unit,Private room,2,1,90.0,4.51085950651685,2
Haight Ashbury,2010-04-12,1,1,Entire rental unit,Entire home/apt,5,2,306.0,5.726847747587197,1
Russian Hill,2018-02-08,1,0,Entire rental unit,Entire home/apt,8,5,325.0,5.786897381366708,0
Excelsior,2015-07-21,1,1,Entire rental unit,Entire home/apt,6,3,148.0,5.003946305945459,4
Nob Hill,2019-06-11,55,1,Private room in home,Private room,2,0,60.0,4.110873864173311,0
Western Addition,2017-10-02,2,1,Entire rental unit,Entire home/apt,4,2,395.0,5.981414211254481,1
Inner Richmond,2011-01-14,1,1,Entire home,Entire home/apt,2,2,90.0,4.51085950651685,1
Inner Sunset,2016-02-17,1,0,Entire guest suite,Entire home/apt,2,2,125.0,4.836281906951478,2
Inner Richmond,2016-05-29,1,1,Entire guest suite,Entire home/apt,4,3,241.0,5.488937726156687,2
South of Market,2018-05-09,2,1,Shared room in home,Shared room,1,1,33.0,3.5263605246161616,0
Downtown/Civic Center,2016-06-09,8,0,Private room in hostel,Private room,3,3,85.0,4.454347296253507,0
Western Addition,2011-10-17,2,1,Entire rental unit,Entire home/apt,6,3,572.0,6.35088571671474,1
Lakeshore,2014-04-13,1,1,Entire condo,Entire home/apt,3,1,185.0,5.225746673713202,4
Haight Ashbury,2017-01-12,1,1,Entire guest suite,Entire home/apt,4,2,250.0,5.5254529391317835,1
Marina,2015-09-30,2,1,Entire home,Entire home/apt,2,1,172.0,5.153291594497779,0
Haight Ashbury,2017-04-19,8,1,Entire condo,Entire home/apt,4,2,300.0,5.707110264748875,1
Ocean View,2017-04-28,30,1,Entire rental unit,Entire home/apt,4,3,120.0,4.795790545596741,4
Marina,2013-08-22,4,1,Entire rental unit,Entire home/apt,10,5,260.0,5.564520407322694,0
Haight Ashbury,2014-01-31,7,1,Entire condo,Entire home/apt,8,5,306.0,5.726847747587197,1
Mission,2012-12-17,154,1,Entire rental unit,Entire home/apt,2,1,88.0,4.48863636973214,1
Western Addition,2013-01-15,1,1,Entire condo,Entire home/apt,2,1,200.0,5.303304908059076,1
Downtown/Civic Center,2019-10-18,6,1,Room in boutique hotel,Private room,2,1,245.0,5.5053315359323625,0
Inner Richmond,2022-11-08,3,0,Private room in home,Private room,2,1,109.0,4.700480365792417,2
Castro/Upper Market,2015-08-28,2,1,Private room in condo,Private room,1,1,85.0,4.454347296253507,1
Marina,2018-07-28,2,1,Entire home,Entire home/apt,10,7,2625.0,7.873217054862741,0
Inner Richmond,2014-11-13,28,1,Private room in rental unit,Private room,2,0,80.0,4.394449154672439,2
Inner Richmond,2013-06-24,5,0,Entire rental unit,Entire home/apt,1,1,90.0,4.51085950651685,1
Inner Richmond,2019-12-10,5,1,Entire rental unit,Entire home/apt,9,5,267.0,5.5909869805108565,2
Castro/Upper Market,2012-08-26,3,1,Private room in rental unit,Private room,1,1,89.0,4.499809670330265,1
Twin Peaks,2019-08-18,1,1,Entire rental unit,Entire home/apt,2,1,170.0,5.14166355650266,1
Twin Peaks,2014-08-27,1,1,Entire rental unit,Entire home/apt,7,2,117.0,4.770684624465665,1
South of Market,2019-10-29,9,1,Private room in serviced apartment,Private room,2,1,99.0,4.605170185988092,0
Downtown/Civic Center,2019-11-02,1,1,Entire serviced apartment,Entire home/apt,4,2,220.0,5.3981627015177525,0
Haight Ashbury,2012-09-26,1,1,Entire condo,Entire home/apt,2,1,160.0,5.081404364984463,1
Excelsior,2018-12-11,4,1,Private room in home,Private room,1,1,99.0,4.605170185988092,3
Inner Richmond,2014-11-13,28,1,Private room in rental unit,Private room,2,0,60.0,4.110873864173311,2
Outer Richmond,2020-09-20,1,0,Entire condo,Entire home/apt,6,3,180.0,5.198497031265826,2
Inner Sunset,2012-06-17,1,1,Entire guest suite,Entire home/apt,1,1,67.0,4.219507705176107,2
Outer Sunset,2016-03-07,21,1,Private room in rental unit,Private room,4,1,59.0,4.0943445622221,2
South of Market,2018-11-14,3,1,Private room in condo,Private room,1,1,57.0,4.060443010546419,0
Downtown/Civic Center,2019-10-22,3,1,Room in boutique hotel,Private room,2,1,188.0,5.241747015059643,0
Inner Richmond,2011-08-18,16,1,Entire rental unit,Entire home/apt,3,2,150.0,5.017279836814924,1
Western Addition,2011-10-13,1,1,Entire condo,Entire home/apt,3,3,130.0,4.875197323201151,1
South of Market,2014-10-02,1,1,Entire rental unit,Entire home/apt,4,2,180.0,5.198497031265826,0
Ocean View,2016-04-11,1,0,Entire home,Entire home/apt,4,2,189.0,5.247024072160486,4
Twin Peaks,2014-10-28,3,1,Entire home,Entire home/apt,4,2,426.0,6.056784013228625,1
Outer Sunset,2013-06-08,1,1,Entire home,Entire home/apt,8,4,332.0,5.808142489980444,2
Potrero Hill,2015-08-12,1,1,Private room in rental unit,Private room,4,4,155.0,5.049856007249537,3
Western Addition,2017-04-28,30,1,Entire rental unit,Entire home/apt,5,4,140.0,4.948759890378168,1
Haight Ashbury,2014-01-31,7,1,Entire rental unit,Entire home/apt,2,2,195.0,5.278114659230517,1
Outer Richmond,2009-11-10,2,1,Entire rental unit,Entire home/apt,2,2,95.0,4.564348191467836,2
Castro/Upper Market,2011-10-02,2,0,Private room in rental unit,Private room,5,2,350.0,5.860786223465865,1
Ocean View,2021-12-13,1,1,Entire home,Entire home/apt,6,3,250.0,5.5254529391317835,4
Haight Ashbury,2014-08-07,1,1,Entire home,Entire home/apt,8,4,350.0,5.860786223465865,1
Outer Sunset,2023-02-09,1,1,Entire home,Entire home/apt,6,3,220.0,5.3981627015177525,2
Outer Mission,2014-09-16,1,1,Entire rental unit,Entire home/apt,5,3,455.0,6.1224928095143865,4
Lakeshore,2021-04-09,1,1,Entire guest suite,Entire home/apt,8,4,254.0,5.541263545158426,4
Inner Richmond,2013-12-26,5,1,Private room in home,Private room,3,2,180.0,5.198497031265826,1
Inner Richmond,2012-04-10,1,1,Private room in guest suite,Private room,5,2,196.0,5.2832037287379885,2
Inner Sunset,2014-12-22,4,1,Entire guest suite,Entire home/apt,6,4,1000.0,6.90875477931522,1
Outer Richmond,2017-11-09,25,0,Private room in rental unit,Private room,1,0,53.0,3.9889840465642745,2
Outer Richmond,2013-12-02,3,1,Entire rental unit,Entire home/apt,6,3,275.0,5.62040086571715,2
Ocean View,2011-08-03,1,1,Entire home,Entire home/apt,6,3,385.0,5.955837369464831,4
Outer Mission,2016-04-27,1,1,Entire home,Entire home/apt,7,4,247.0,5.5134287461649825,4
Castro/Upper Market,2013-04-15,1,1,Entire home,Entire home/apt,8,4,400.0,5.993961427306569,1
Nob Hill,2019-06-11,55,1,Private room in home,Private room,2,0,60.0,4.110873864173311,0
Outer Mission,2023-05-05,9,1,Shared room in home,Shared room,1,1,28.0,3.367295829986474,4
Castro/Upper Market,2015-04-07,1,1,Entire home,Entire home/apt,2,1,545.0,6.302618975744905,1
Outer Mission,2023-05-05,9,1,Shared room in home,Shared room,1,1,25.0,3.258096538021482,4
Crocker Amazon,2023-05-05,9,1,Shared room in home,Shared room,1,1,23.0,3.1780538303479458,4
Castro/Upper Market,2014-06-17,2,1,Entire townhouse,Entire home/apt,6,2,2195.0,7.694392802629421,1
Inner Sunset,2022-10-03,2,1,Private room in home,Private room,2,1,65.0,4.189654742026425,2
Downtown/Civic Center,2019-06-04,8,1,Room in boutique hotel,Hotel room,2,1,209.0,5.3471075307174685,0
Downtown/Civic Center,2013-05-12,29,0,Room in hotel,Private room,4,2,180.0,5.198497031265826,0
Mission,2019-10-24,3,1,Entire rental unit,Entire home/apt,4,2,295.0,5.69035945432406,3
Haight Ashbury,2017-02-19,43,1,Shared room in hostel,Shared room,5,3,100.0,4.61512051684126,1
Western Addition,2014-04-16,1,0,Entire condo,Entire home/apt,4,2,295.0,5.69035945432406,1
North Beach,2011-08-18,16,1,Entire condo,Entire home/apt,2,1,110.0,4.709530201312334,0
Chinatown,2020-02-11,9,1,Private room in rental unit,Private room,1,1,58.0,4.07753744390572,0
Castro/Upper Market,2014-03-30,1,1,Entire condo,Entire home/apt,4,3,290.0,5.673323267171493,1
Downtown/Civic Center,2018-02-13,61,1,Room in boutique hotel,Private room,2,1,9999.0,9.210340371976184,0
