neighbourhood,host_listings_count,host_identity_verified,property_type,room_type,accommodates,beds,price,host_duration_days,log_price,location_cluster
North Beach,1,1,Entire condo,Entire home/apt,4,2,417.0,3026,6.035481432524756,0
South of Market,32,1,Entire serviced apartment,Entire home/apt,2,1,280.0,854,5.638354669333745,0
Noe Valley,1,1,Entire condo,Entire home/apt,4,2,195.0,3645,5.278114659230517,3
South of Market,1,1,Private room in home,Private room,2,1,60.0,3468,4.110873864173311,0
Castro/Upper Market,1,0,Private room in condo,Private room,1,1,120.0,4290,4.795790545596741,1
South of Market,9,1,Entire rental unit,Entire home/apt,2,1,99.0,1493,4.605170185988092,0
Downtown/Civic Center,154,1,Entire rental unit,Entire home/apt,2,1,81.0,4000,4.406719247264253,0
Bayview,1,1,Entire home,Entire home/apt,5,3,172.0,2273,5.153291594497779,3
Nob Hill,55,1,Private room in rental unit,Private room,1,0,47.0,1633,3.871201010907891,0
Bernal Heights,2,1,Entire home,Entire home/apt,6,2,492.0,359,6.20050917404269,3
Noe Valley,55,1,Private room in home,Private room,2,0,47.0,1633,3.871201010907891,3
South of Market,1,1,Entire condo,Entire home/apt,2,2,250.0,3935,5.5254529391317835,0
Outer Sunset,1,1,Entire home,Entire home/apt,6,3,700.0,3733,6.55250788703459,2
Bayview,1,1,Shared room in home,Shared room,1,2,45.0,1772,3.828641396489095,3
Outer Sunset,1,1,Entire home,Entire home/apt,7,4,406.0,1627,6.008813185442595,2
Haight Ashbury,5,1,Private room in home,Private room,4,2,84.0,4476,4.442651256490317,1
Crocker Amazon,5,1,Private room in home,Private room,2,1,52.0,3232,3.970291913552122,4
Outer Richmond,1,1,Entire rental unit,Entire home/apt,4,2,155.0,812,5.049856007249537,2
Outer Sunset,2,1,Entire home,Entire home/apt,4,2,185.0,3297,5.225746673713202,2
Financial District,15,1,Room in boutique hotel,Private room,2,1,128.0,2642,4.859812404361672,0
Outer Sunset,2,1,Entire condo,Entire home/apt,4,3,160.0,4224,5.081404364984463,2
Crocker Amazon,5,1,Private room in home,Private room,2,1,50.0,3232,3.9318256327243257,4
Mission,32,1,Entire serviced apartment,Entire home/apt,2,1,196.0,854,5.2832037287379885,1
Outer Richmond,2,1,Entire rental unit,Entire home/apt,6,3,198.0,3872,5.293304824724492,2
Downtown/Civic Center,19,1,Entire condo,Entire home/apt,8,4,685.0,3340,6.530877627725885,0
Nob Hill,1,1,Entire home,Entire home/apt,9,4,230.0,3908,5.442417710521793,0
Western Addition,1,1,Private room in rental unit,Private room,2,1,69.0,3936,4.248495242049359,1
Nob Hill,7,1,Entire townhouse,Entire home/apt,6,2,395.0,618,5.981414211254481,0
Western Addition,1,1,Entire home,Entire home/apt,4,2,400.0,1188,5.993961427306569,1
South of Market,4,1,Room in hotel,Private room,2,1,63.0,3007,4.1588830833596715,0
Outer Mission,1,0,Entire condo,Entire home/apt,3,2,150.0,2747,5.017279836814924,4
Western Addition,1,1,Entire home,Entire home/apt,6,3,356.0,2111,5.877735781779639,1
Ocean View,1,1,Private room in townhouse,Private room,1,1,40.0,4320,3.713572066704308,4
Inner Richmond,4,1,Private room in home,Private room,4,2,118.0,1652,4.77912349311153,1
North Beach,6,1,Room in boutique hotel,Private room,2,1,255.0,1428,5.545177444479562,0
South of Market,9,1,Room in boutique hotel,Hotel room,2,2,141.0,1716,4.955827057601261,0
Western Addition,3,1,Private room in condo,Private room,4,2,249.0,4058,5.521460917862246,1
Western Addition,1,1,Entire rental unit,Entire home/apt,4,2,325.0,3594,5.786897381366708,1
Outer Sunset,4,1,Private room in rental unit,Private room,2,1,92.0,4162,4.532599493153256,2
Inner Richmond,5,0,Entire rental unit,Entire home/apt,2,1,120.0,3811,4.795790545596741,2
Western Addition,2,1,Entire rental unit,Entire home/apt,4,4,169.0,4061,5.135798437050262,1
Haight Ashbury,22,1,Entire rental unit,Entire home/apt,4,2,300.0,1504,5.707110264748875,1
Inner Sunset,1,1,Entire rental unit,Entire home/apt,4,2,160.0,3346,5.081404364984463,1
Ocean View,22,1,Entire rental unit,Entire home/apt,2,1,80.0,1504,4.394449154672439,4
Chinatown,24,1,Room in boutique hotel,Private room,4,2,275.0,2868,5.62040086571715,0
Inner Richmond,2,1,Entire guest suite,Entire home/apt,2,1,133.0,4046,4.897839799950911,2
Inner Richmond,1,0,Entire rental unit,Entire home/apt,3,2,176.0,332,5.176149732573829,2
Inner Richmond,5,1,Private room in home,Private room,4,2,95.0,2409,4.564348191467836,1
Inner Richmond,2,1,Entire rental unit,Entire home/apt,2,1,150.0,4882,5.017279836814924,1
Outer Mission,9,1,Private room in home,Private room,2,1,48.0,209,3.8918202981106265,4
Parkside,3,1,Private room in home,Private room,2,1,75.0,3204,4.330733340286331,2
Glen Park,1,1,Entire home,Entire home/apt,5,4,199.0,945,5.298317366548036,3
Mission,17,1,Entire townhouse,Entire home/apt,11,7,516.0,4258,6.248042874508429,3
Pacific Heights,1,1,Entire home,Entire home/apt,7,4,1550.0,2658,7.346655163176539,0
Downtown/Civic Center,154,1,Entire rental unit,Entire home/apt,2,1,87.0,4000,4.477336814478207,0
South of Market,32,1,Entire serviced apartment,Entire home/apt,2,1,153.0,854,5.0369526024136295,0
Chinatown,5,1,Entire rental unit,Entire home/apt,2,1,89.0,3538,4.499809670330265,0
Bernal Heights,1,1,Entire home,Entire home/apt,6,4,275.0,645,5.62040086571715,3
Nob Hill,32,1,Entire serviced apartment,Entire home/apt,2,1,161.0,854,5.087596335232384,0
Downtown/Civic Center,43,1,Entire rental unit,Entire home/apt,2,1,125.0,2898,4.836281906951478,0
Marina,1,1,Entire condo,Entire home/apt,2,2,180.0,1704,5.198497031265826,0
Downtown/Civic Center,43,1,Entire condo,Entire home/apt,2,1,114.0,2898,4.74493212836325,0
South of Market,32,1,Entire serviced apartment,Entire home/apt,2,1,184.0,854,5.220355825078324,0
Nob Hill,1,1,Private room in condo,Private room,4,2,357.0,3480,5.8805329864007,0
North Beach,1,1,Entire condo,Entire home/apt,4,2,146.0,2514,4.990432586778736,0
Bayview,2,1,Private room in townhouse,Private room,2,1,110.0,3095,4.709530201312334,3
South of Market,9,1,Entire serviced apartment,Entire home/apt,2,1,99.0,1493,4.605170185988092,0
Russian Hill,3,1,Entire rental unit,Entire home/apt,5,4,300.0,4318,5.707110264748875,0
Noe Valley,1,0,Private room in rental unit,Private room,2,1,140.0,3465,4.948759890378168,3
Downtown/Civic Center,27,1,Room in hotel,Private room,4,2,357.0,2957,5.8805329864007,0
Pacific Heights,16,1,Room in hotel,Private room,5,3,180.0,3376,5.198497031265826,0
Russian Hill,43,1,Entire rental unit,Entire home/apt,4,2,185.0,2898,5.225746673713202,0
Financial District,7,1,Room in boutique hotel,Private room,2,1,9999.0,1577,9.210340371976184,0
Financial District,7,1,Room in boutique hotel,Private room,2,2,9999.0,1577,9.210340371976184,0
Inner Richmond,1,1,Entire rental unit,Entire home/apt,4,2,399.0,2894,5.991464547107982,2
Mission,2,1,Private room in rental unit,Private room,4,4,49.0,3336,3.912023005428146,3
Outer Sunset,3,1,Private room in home,Private room,3,2,66.0,3114,4.204692619390966,2
Downtown/Civic Center,43,1,Entire condo,Entire home/apt,4,2,109.0,2898,4.700480365792417,0
Bernal Heights,1,1,Private room in home,Private room,2,1,120.0,3101,4.795790545596741,3
Haight Ashbury,1,1,Entire rental unit,Entire home/apt,3,1,132.0,4029,4.890349128221754,1
Western Addition,6,1,Entire rental unit,Entire home/apt,2,1,140.0,4053,4.948759890378168,1
South of Market,1,1,Entire home,Entire home/apt,4,3,314.0,4539,5.752572638825633,0
Mission,32,1,Entire serviced apartment,Entire home/apt,2,1,158.0,854,5.0689042022202315,1
Visitacion Valley,5,0,Entire home,Entire home/apt,8,4,212.0,2632,5.3612921657094255,3
Western Addition,2,1,Private room in home,Private room,1,1,119.0,4061,4.787491742782046,1
Twin Peaks,1,1,Entire home,Entire home/apt,6,3,471.0,3420,6.156978985585555,4
Haight Ashbury,2,0,Private room in vacation home,Private room,3,1,175.0,1751,5.170483995038151,1
Pacific Heights,1,1,Private room in rental unit,Private room,2,1,150.0,3459,5.017279836814924,0
Inner Sunset,14,1,Private room in rental unit,Private room,1,1,55.0,5279,4.02535169073515,1
Diamond Heights,1,1,Entire condo,Entire home/apt,7,6,595.0,4263,6.39024066706535,4
Haight Ashbury,22,1,Entire rental unit,Entire home/apt,2,1,100.0,1504,4.61512051684126,1
Western Addition,7,1,Room in boutique hotel,Private room,4,2,323.0,864,5.780743515792329,1
Mission,154,1,Entire rental unit,Entire home/apt,2,1,95.0,4000,4.564348191467836,1
South of Market,32,1,Entire serviced apartment,Entire home/apt,2,1,179.0,854,5.19295685089021,0
Bernal Heights,1,0,Entire home,Entire home/apt,5,3,252.0,2121,5.53338948872752,3
South of Market,1,1,Entire rental unit,Entire home/apt,4,2,329.0,3762,5.799092654460526,0
Inner Richmond,1,1,Entire home,Entire home/apt,4,2,195.0,3937,5.278114659230517,2
Castro/Upper Market,1,1,Entire rental unit,Entire home/apt,3,1,125.0,4376,4.836281906951478,1
Haight Ashbury,12,0,Entire rental unit,Entire home/apt,4,3,145.0,2115,4.983606621708336,1
Financial District,2,1,Private room in condo,Private room,2,1,199.0,3860,5.298317366548036,0
Downtown/Civic Center,43,1,Entire rental unit,Entire home/apt,2,1,125.0,2898,4.836281906951478,0
Outer Richmond,1,1,Entire guest suite,Entire home/apt,2,1,93.0,3170,4.543294782270004,2
Noe Valley,4,1,Private room in home,Private room,2,1,99.0,4473,4.605170185988092,1
South of Market,4,1,Private room in home,Private room,2,1,100.0,4411,4.61512051684126,0
Chinatown,9,1,Entire rental unit,Entire home/apt,2,1,133.0,3670,4.897839799950911,0
Mission,2,1,Private room in condo,Private room,4,2,171.0,5420,5.147494476813453,3
Western Addition,2,1,Entire condo,Entire home/apt,1,1,120.0,4577,4.795790545596741,1
Downtown/Civic Center,1,1,Entire condo,Entire home/apt,2,1,100.0,2992,4.61512051684126,0
Western Addition,6,1,Entire rental unit,Entire home/apt,2,1,115.0,4053,4.7535901911063645,0
Pacific Heights,1,1,Entire rental unit,Entire home/apt,2,1,160.0,3999,5.081404364984463,0
Mission,55,1,Private room in home,Private room,2,1,50.0,1633,3.9318256327243257,1
Nob Hill,55,1,Private room in home,Private room,2,0,60.0,1633,4.110873864173311,0
Pacific Heights,1,1,Entire loft,Entire home/apt,3,2,220.0,4068,5.3981627015177525,0
Western Addition,1,1,Entire guest suite,Entire home/apt,3,2,178.0,4028,5.187385805840755,1
Pacific Heights,1,1,Private room in home,Private room,1,1,114.0,4529,4.74493212836325,1
Bernal Heights,1,1,Private room in condo,Private room,1,1,90.0,4362,4.51085950651685,3
Pacific Heights,1,1,Private room in rental unit,Private room,2,1,225.0,3222,5.420534999272286,1
Potrero Hill,1,1,Entire home,Entire home/apt,8,5,1020.0,4694,6.928537818164665,3
Potrero Hill,1,1,Entire home,Entire home/apt,2,1,145.0,4007,4.983606621708336,3
Inner Sunset,6,1,Private room in rental unit,Private room,4,0,35.0,2347,3.58351893845611,2
Outer Richmond,1,1,Entire home,Entire home/apt,8,3,239.0,2864,5.480638923341991,2
Downtown/Civic Center,32,1,Entire serviced apartment,Entire home/apt,2,1,183.0,854,5.214935757608986,0
Downtown/Civic Center,3,0,Room in hotel,Private room,2,0,129.0,805,4.867534450455582,0
Nob Hill,1,0,Shared room in hostel,Shared room,1,2,29.0,794,3.4011973816621555,0
Downtown/Civic Center,3,0,Room in boutique hotel,Private room,2,1,129.0,805,4.867534450455582,0
Western Addition,4,1,Private room in condo,Private room,1,1,360.0,3490,5.8888779583328805,1
Haight Ashbury,7,1,Entire condo,Entire home/apt,16,7,595.0,618,6.39024066706535,1
Outer Sunset,4,0,Private room in home,Private room,2,1,48.0,930,3.8918202981106265,2
Mission,1,1,Entire condo,Entire home/apt,8,4,500.0,3906,6.2166061010848646,1
Downtown/Civic Center,43,1,Entire rental unit,Entire home/apt,2,1,60.0,2898,4.110873864173311,0
South of Market,1,0,Entire condo,Entire home/apt,2,1,135.0,717,4.912654885736052,0
Noe Valley,1,0,Entire guest suite,Entire home/apt,2,1,226.0,2655,5.424950017481403,1
Noe Valley,4,1,Entire rental unit,Entire home/apt,4,2,126.0,3252,4.844187086458591,3
South of Market,5,1,Private room in townhouse,Private room,4,2,318.0,2604,5.765191102784844,0
Downtown/Civic Center,43,1,Entire rental unit,Entire home/apt,2,1,107.0,2898,4.68213122712422,0
Outer Richmond,8,1,Entire cottage,Entire home/apt,5,3,325.0,2719,5.786897381366708,2
West of Twin Peaks,3,1,Entire home,Entire home/apt,6,3,307.0,3976,5.730099782973574,4
Castro/Upper Market,10,1,Entire condo,Entire home/apt,3,3,200.0,2283,5.303304908059076,1
Visitacion Valley,1,1,Private room in rental unit,Private room,2,1,75.0,3297,4.330733340286331,3
Outer Richmond,1,1,Entire guest suite,Entire home/apt,3,1,200.0,4061,5.303304908059076,2
Pacific Heights,17,1,Entire rental unit,Entire home/apt,2,1,250.0,2671,5.5254529391317835,0
Bayview,3,1,Entire home,Entire home/apt,1,1,97.0,3941,4.584967478670572,3
Downtown/Civic Center,17,1,Room in boutique hotel,Private room,2,1,174.0,2671,5.1647859739235145,0
Excelsior,14,1,Private room in home,Private room,2,1,62.0,1837,4.143134726391533,3
Haight Ashbury,1,1,Entire home,Entire home/apt,2,1,227.0,3051,5.429345628954441,1
Nob Hill,26,1,Room in hotel,Private room,8,2,1385.0,1420,7.234177179749849,0
Downtown/Civic Center,43,1,Entire rental unit,Entire home/apt,4,2,125.0,2898,4.836281906951478,0
Outer Sunset,1,1,Private room in home,Private room,6,4,260.0,883,5.564520407322694,2
Financial District,2,0,Room in boutique hotel,Private room,2,1,250.0,4811,5.5254529391317835,0
Excelsior,1,1,Private room in home,Private room,1,1,47.0,4299,3.871201010907891,3
Downtown/Civic Center,1,1,Private room in resort,Private room,4,2,100.0,1749,4.61512051684126,0
Haight Ashbury,1,0,Entire rental unit,Entire home/apt,6,3,558.0,851,6.326149473155099,1
Downtown/Civic Center,43,1,Entire condo,Entire home/apt,2,1,115.0,2898,4.7535901911063645,0
South of Market,1,1,Entire condo,Entire home/apt,4,2,220.0,453,5.3981627015177525,0
South of Market,1,1,Entire loft,Entire home/apt,4,2,200.0,2964,5.303304908059076,0
Mission,3,1,Entire rental unit,Entire home/apt,4,2,130.0,2678,4.875197323201151,1
North Beach,16,1,Room in hotel,Private room,8,4,511.0,2107,6.238324625039508,0
Parkside,1,1,Entire home,Entire home/apt,8,4,268.0,413,5.594711379601839,2
Downtown/Civic Center,5,1,Private room in serviced apartment,Private room,4,2,216.0,463,5.37989735354046,0
Ocean View,1,1,Entire guesthouse,Entire home/apt,6,3,216.0,4522,5.37989735354046,4
Outer Sunset,2,1,Entire guest suite,Entire home/apt,3,1,90.0,423,4.51085950651685,2
Excelsior,3,1,Private room in home,Private room,1,1,39.0,454,3.6888794541139363,3
South of Market,1,1,Entire rental unit,Entire home/apt,4,1,230.0,243,5.442417710521793,0
Outer Sunset,1,1,Private room in home,Private room,2,1,120.0,3423,4.795790545596741,2
Outer Mission,9,1,Shared room in home,Shared room,1,1,23.0,209,3.1780538303479458,4
Nob Hill,1,1,Entire condo,Entire home/apt,8,3,619.0,186,6.429719478039138,0
Western Addition,1,1,Private room in rental unit,Private room,4,2,200.0,4372,5.303304908059076,1
Financial District,15,1,Room in boutique hotel,Private room,4,2,154.0,2642,5.043425116919247,0
Nob Hill,1,1,Entire condo,Entire home/apt,4,2,119.0,4212,4.787491742782046,0
Nob Hill,28,1,Private room in rental unit,Private room,1,1,60.0,3304,4.110873864173311,0
Outer Sunset,4,1,Private room in home,Private room,2,2,180.0,4596,5.198497031265826,2
Nob Hill,28,1,Private room in rental unit,Private room,2,1,76.0,3304,4.343805421853684,0
Pacific Heights,2,1,Entire home,Entire home/apt,8,7,800.0,2786,6.68586094706836,0
Bayview,1,1,Entire guest suite,Entire home/apt,3,2,100.0,2428,4.61512051684126,3
Haight Ashbury,43,1,Private room in hostel,Private room,4,4,100.0,2475,4.61512051684126,1
Glen Park,1,1,Entire guest suite,Entire home/apt,4,2,225.0,2759,5.420534999272286,3
Outer Sunset,1,1,Entire rental unit,Entire home/apt,2,2,103.0,2400,4.6443908991413725,2
Russian Hill,17,1,Entire rental unit,Entire home/apt,2,1,144.0,3529,4.976733742420574,0
Castro/Upper Market,3,1,Entire rental unit,Entire home/apt,2,2,349.0,3612,5.857933154483459,1
Outer Sunset,1,1,Entire rental unit,Entire home/apt,4,3,280.0,3332,5.638354669333745,2
Pacific Heights,1,1,Entire condo,Entire home/apt,5,3,385.0,2621,5.955837369464831,0
Inner Richmond,5,1,Private room in home,Private room,3,2,80.0,2409,4.394449154672439,1
Marina,1,1,Entire serviced apartment,Entire home/apt,6,3,250.0,3424,5.5254529391317835,0
Outer Sunset,1,1,Entire rental unit,Entire home/apt,3,4,172.0,2663,5.153291594497779,2
Bayview,1,1,Entire home,Entire home/apt,4,2,250.0,2221,5.5254529391317835,3
Downtown/Civic Center,27,1,Room in hotel,Private room,4,2,357.0,2957,5.8805329864007,0
Western Addition,5,1,Private room in bed and breakfast,Private room,2,1,290.0,2192,5.673323267171493,1
Downtown/Civic Center,46,1,Entire serviced apartment,Entire home/apt,2,1,145.0,2764,4.983606621708336,0
Downtown/Civic Center,1,1,Private room in hostel,Private room,1,1,39.0,3880,3.6888794541139363,0
Downtown/Civic Center,38,1,Room in hotel,Private room,4,2,199.0,2804,5.298317366548036,0
Castro/Upper Market,1,1,Entire rental unit,Entire home/apt,5,2,427.0,3910,6.059123195581797,1
Downtown/Civic Center,24,1,Room in boutique hotel,Private room,2,1,250.0,2868,5.5254529391317835,0
South of Market,4,1,Entire condo,Entire home/apt,2,1,185.0,3703,5.225746673713202,0
Haight Ashbury,22,1,Entire rental unit,Entire home/apt,2,1,104.0,5189,4.653960350157523,1
Crocker Amazon,3,1,Entire guest suite,Entire home/apt,6,4,186.0,2100,5.231108616854587,4
South of Market,1,1,Entire rental unit,Entire home/apt,2,2,430.0,3445,6.066108090103747,0
Western Addition,4,1,Entire rental unit,Entire home/apt,2,1,105.0,1964,4.663439094112067,1
Outer Mission,1,1,Entire rental unit,Entire home/apt,4,2,185.0,2260,5.225746673713202,4
Haight Ashbury,43,1,Shared room in hostel,Shared room,2,1,100.0,2475,4.61512051684126,1
Mission,1,1,Entire guest suite,Entire home/apt,4,2,150.0,2931,5.017279836814924,3
Nob Hill,1,1,Entire condo,Entire home/apt,2,1,165.0,2542,5.111987788356544,0
South of Market,3,1,Private room in condo,Private room,1,1,57.0,1842,4.060443010546419,0
Haight Ashbury,22,1,Entire rental unit,Entire home/apt,4,4,191.0,5189,5.2574953720277815,1
Western Addition,1,1,Entire condo,Entire home/apt,2,1,210.0,3475,5.351858133476067,1
Downtown/Civic Center,43,1,Entire rental unit,Entire home/apt,2,2,137.0,2898,4.927253685157205,0
Inner Sunset,2,1,Private room in rental unit,Private room,1,1,53.0,3975,3.9889840465642745,2
Downtown/Civic Center,1,1,Entire condo,Entire home/apt,2,0,125.0,1749,4.836281906951478,0
Ocean View,9,1,Private room in home,Private room,1,1,45.0,2715,3.828641396489095,4
Castro/Upper Market,1,1,Entire cottage,Entire home/apt,2,1,275.0,2975,5.62040086571715,1
Russian Hill,9,1,Entire serviced apartment,Entire home/apt,4,2,263.0,2950,5.575949103146316,0
Outer Richmond,1,1,Entire home,Entire home/apt,7,4,790.0,4126,6.673297967767654,2
Nob Hill,14,0,Entire rental unit,Entire home/apt,4,2,264.0,321,5.579729825986222,0
Marina,10,1,Entire rental unit,Entire home/apt,4,2,260.0,4719,5.564520407322694,1
Bayview,4,1,Private room in home,Private room,2,1,41.0,1824,3.7376696182833684,3
Haight Ashbury,30,1,Entire rental unit,Entire home/apt,2,1,104.0,2407,4.653960350157523,1
Noe Valley,1,1,Entire guesthouse,Entire home/apt,2,1,174.0,4420,5.1647859739235145,1
Russian Hill,1,1,Room in hotel,Private room,4,1,282.0,674,5.645446897643238,0
South of Market,4,1,Room in hotel,Private room,2,1,73.0,3007,4.30406509320417,0
Potrero Hill,1,1,Entire rental unit,Entire home/apt,3,4,600.0,277,6.398594934535208,3
Russian Hill,1,1,Entire rental unit,Entire home/apt,2,1,125.0,3780,4.836281906951478,0
South of Market,7,1,Private room in rental unit,Private room,1,1,69.0,1256,4.248495242049359,0
Nob Hill,14,0,Entire rental unit,Entire home/apt,4,2,264.0,321,5.579729825986222,0
Outer Richmond,1,1,Entire home,Entire home/apt,6,3,335.0,3496,5.817111159963204,2
Nob Hill,1,1,Entire rental unit,Entire home/apt,5,4,329.0,2771,5.799092654460526,0
Financial District,7,1,Room in hotel,Private room,2,1,81.0,1472,4.406719247264253,0
South of Market,1,1,Entire rental unit,Entire home/apt,2,1,200.0,1766,5.303304908059076,0
Downtown/Civic Center,3,1,Room in hotel,Private room,2,1,299.0,1847,5.703782474656201,0
Russian Hill,1,1,Entire condo,Entire home/apt,2,1,224.0,4021,5.41610040220442,0
Mission,1,1,Private room in home,Private room,2,1,136.0,3260,4.919980925828125,1
Mission,3,1,Private room in rental unit,Private room,1,1,150.0,3801,5.017279836814924,3
Outer Sunset,1,1,Entire home,Entire home/apt,5,4,320.0,4239,5.771441123130016,2
Haight Ashbury,1,1,Entire rental unit,Entire home/apt,2,1,155.0,4476,5.049856007249537,1
Outer Sunset,4,1,Private room in home,Private room,2,1,99.0,4048,4.605170185988092,2
Downtown/Civic Center,3,1,Entire serviced apartment,Entire home/apt,2,1,75.0,2484,4.330733340286331,0
Pacific Heights,3,1,Private room in home,Private room,4,2,240.0,3524,5.484796933490655,1
Downtown/Civic Center,1,1,Room in boutique hotel,Private room,4,2,83.0,2965,4.430816798843313,0
Inner Richmond,2,1,Entire rental unit,Entire home/apt,2,1,169.0,3801,5.135798437050262,2
Russian Hill,1,0,Entire condo,Entire home/apt,2,1,165.0,2947,5.111987788356544,0
Noe Valley,1,1,Entire guest suite,Entire home/apt,2,1,119.0,4303,4.787491742782046,4
Western Addition,1,1,Private room in guest suite,Private room,2,2,157.0,2947,5.062595033026967,1
Ocean View,2,1,Entire guest suite,Entire home/apt,3,1,225.0,3731,5.420534999272286,4
Parkside,1,1,Entire home,Entire home/apt,5,3,200.0,4177,5.303304908059076,2
Chinatown,15,1,Room in boutique hotel,Private room,2,1,391.0,5027,5.971261839790462,0
Noe Valley,1,1,Private room in home,Private room,2,2,250.0,3014,5.5254529391317835,3
Haight Ashbury,2,1,Entire rental unit,Entire home/apt,4,1,105.0,4684,4.663439094112067,1
South of Market,17,1,Entire condo,Entire home/apt,2,1,133.0,3529,4.897839799950911,0
Nob Hill,1,0,Entire rental unit,Entire home/apt,4,2,175.0,2940,5.170483995038151,0
Noe Valley,1,1,Private room in condo,Private room,1,1,139.0,3771,4.941642422609304,3
Western Addition,1,1,Entire rental unit,Entire home/apt,7,4,527.0,3162,6.269096283706261,1
Western Addition,1,1,Entire rental unit,Entire home/apt,3,1,110.0,4250,4.709530201312334,1
Noe Valley,1,1,Entire rental unit,Entire home/apt,2,1,130.0,2991,4.875197323201151,1
Mission,1,1,Private room in rental unit,Private room,1,1,80.0,4708,4.394449154672439,3
Chinatown,2,1,Entire condo,Entire home/apt,4,2,499.0,3762,6.214608098422191,0
Outer Richmond,1,1,Entire home,Entire home/apt,4,4,493.0,1719,6.202535517187923,2
Inner Richmond,1,1,Entire rental unit,Entire home/apt,8,4,419.0,3498,6.040254711277414,2
Inner Richmond,1,1,Entire home,Entire home/apt,6,3,450.0,4173,6.111467339502679,1
Mission,1,1,Entire condo,Entire home/apt,4,2,154.0,2929,5.043425116919247,3
Outer Sunset,1,1,Entire rental unit,Entire home/apt,2,2,150.0,2929,5.017279836814924,2
Western Addition,2,1,Private room in townhouse,Private room,2,1,185.0,3999,5.225746673713202,1
Parkside,1,1,Entire rental unit,Entire home/apt,10,5,443.0,3367,6.095824562432225,2
North Beach,1,1,Entire rental unit,Entire home/apt,4,2,350.0,4043,5.860786223465865,0
Downtown/Civic Center,7,1,Private room in rental unit,Private room,2,1,95.0,2923,4.564348191467836,0
Western Addition,1,1,Private room in rental unit,Private room,1,1,60.0,3609,4.110873864173311,1
Excelsior,2,1,Entire rental unit,Entire home/apt,5,3,100.0,2999,4.61512051684126,4
Downtown/Civic Center,1,0,Entire rental unit,Entire home/apt,2,1,150.0,4576,5.017279836814924,0
Bernal Heights,1,1,Private room in home,Private room,2,2,80.0,4173,4.394449154672439,3
Mission,1,1,Entire home,Entire home/apt,10,4,550.0,3803,6.311734809152915,3
Inner Sunset,1,1,Entire home,Entire home/apt,6,4,500.0,3492,6.2166061010848646,1
Downtown/Civic Center,19,0,Private room in rental unit,Private room,2,1,70.0,2598,4.2626798770413155,0
Russian Hill,1,1,Entire condo,Entire home/apt,5,3,242.0,2912,5.493061443340548,0
Potrero Hill,1,1,Entire rental unit,Entire home/apt,4,2,103.0,3995,4.6443908991413725,3
Mission,2,1,Entire rental unit,Entire home/apt,4,2,241.0,4540,5.488937726156687,3
Haight Ashbury,1,1,Entire rental unit,Entire home/apt,2,1,224.0,2950,5.41610040220442,1
Noe Valley,1,1,Entire condo,Entire home/apt,6,4,200.0,4543,5.303304908059076,3
Pacific Heights,3,1,Entire rental unit,Entire home/apt,2,1,150.0,4321,5.017279836814924,1
Western Addition,2,1,Entire home,Entire home/apt,2,1,185.0,3797,5.225746673713202,1
Castro/Upper Market,2,1,Entire rental unit,Entire home/apt,8,5,716.0,3041,6.57507584059962,1
Noe Valley,1,1,Entire home,Entire home/apt,2,1,147.0,3216,4.997212273764115,1
Parkside,1,1,Entire rental unit,Entire home/apt,2,2,125.0,2670,4.836281906951478,2
Western Addition,1,1,Entire rental unit,Entire home/apt,5,3,300.0,5035,5.707110264748875,1
Haight Ashbury,2,1,Entire rental unit,Entire home/apt,3,2,500.0,3155,6.2166061010848646,1
Downtown/Civic Center,4,1,Room in boutique hotel,Private room,2,1,102.0,2904,4.634728988229636,0
Haight Ashbury,1,1,Entire guest suite,Entire home/apt,6,3,250.0,4172,5.5254529391317835,1
Nob Hill,22,1,Entire rental unit,Entire home/apt,2,1,101.0,5189,4.624972813284271,0
Mission,1,0,Entire guesthouse,Entire home/apt,2,1,110.0,4578,4.709530201312334,3
Outer Mission,1,1,Private room in home,Private room,1,1,72.0,4169,4.290459441148391,4
Inner Sunset,1,1,Entire serviced apartment,Entire home/apt,3,2,149.0,4257,5.0106352940962555,1
Marina,1,1,Entire home,Entire home/apt,8,4,1149.0,4162,7.047517221357296,0
Mission,1,1,Entire home,Entire home/apt,4,2,400.0,4160,5.993961427306569,1
Russian Hill,3,1,Entire rental unit,Entire home/apt,5,4,275.0,4318,5.62040086571715,0
Mission,1,1,Entire home,Entire home/apt,6,3,325.0,4545,5.786897381366708,3
Mission,1,1,Entire guest suite,Entire home/apt,2,1,116.0,3797,4.762173934797756,3
Downtown/Civic Center,4,1,Room in boutique hotel,Private room,2,2,101.0,2904,4.624972813284271,0
South of Market,2,1,Entire condo,Entire home/apt,4,2,295.0,3298,5.69035945432406,0
Castro/Upper Market,1,1,Entire rental unit,Entire home/apt,2,1,125.0,3680,4.836281906951478,1
Marina,2,0,Entire rental unit,Entire home/apt,5,3,160.0,2900,5.081404364984463,1
Castro/Upper Market,1,1,Entire condo,Entire home/apt,5,2,200.0,3334,5.303304908059076,1
Bernal Heights,1,1,Private room in home,Private room,2,2,68.0,2900,4.23410650459726,3
Haight Ashbury,43,1,Private room in hostel,Private room,4,4,90.0,2475,4.51085950651685,1
Castro/Upper Market,1,1,Entire home,Entire home/apt,2,2,201.0,3390,5.308267697401205,1
Noe Valley,1,1,Entire home,Entire home/apt,4,2,525.0,2805,6.26530121273771,1
